engine,workload,n,p50_ms,p95_ms,p99_ms,throughput_ops_s,correct
aikoql,point_read,50,0.0087,0.0107,0.0116,103799.04504878556,True
aikoql,point_write,50,0.6536,0.9708,1.0564,1403.7294283452275,True
aikoql,structured_filter,50,7.472,13.9098,16.8713,118.00122910080232,True
aikoql,transactions,50,0.6515,0.9949,1.0273,1398.0734547793143,True
aikoql,graph,50,0.0176,0.0256,0.0285,50643.168236604884,True
aikoql,vector_recall,50,2.6343,3.5506,4.6949,366.8588517904913,True
aikoql,knowledge_query,50,13.3679,15.8422,17.1601,72.20640982076492,True
postgresql,point_read,50,1.207,1.517,1.5755,791.5788673772935,True
postgresql,point_write,50,40.0831,305.8142,601.7893,15.515064615744755,True
postgresql,structured_filter,50,1.9232,2.4712,2.8919,508.07018684789193,True
postgresql,transactions,50,46.4019,218.8485,391.1945,15.228598162157951,True
postgresql,knowledge_query,50,10.1596,26.6361,34.423,83.69891624969263,True
neo4j,graph,50,3.765,4.2584,6.7042,259.78992347628014,True
neo4j,knowledge_query,50,58.0859,213.0992,263.8042,12.867914257278402,True
qdrant,vector_recall,50,5.1848,22.7909,30.481,141.73609136648616,True
mongodb,knowledge_query,50,24.1198,46.394,61.2285,35.35462313315216,True
